email_message_id,threat_tactic_name,abnormal_security_threat_summary_insights,abnormal_security_threat_remediation_status
<3083d910032f2582b94375be9.c512858f98.20250829015534.29e68dd951.2838cce9@mail193.atl21.rsgsv.net>,Spam,"Suspicious Link, Unusual Sender, Unusual Sender Domain, Suspicious Financial Request, Unusual Reply To",Remediated
<fe0eedd39f39460b890944c63a4d61e8_CA+-yFNMx8PJdke_YBD2bPoyhYtxFHw7nEdCh_5sSd=V0BHMi+A@mail.gmail.com>,Spam,Unusual Sender,Remediated
<17116420287192302739@DESKTOP-MQ7BKO8>,Spam,"Unusual Sender, Unusual IP Geolocation, Suspicious Link, Unusual Sender Domain, Unusual Reply To",Remediated
<17116420287192302739@DESKTOP-MQ7BKO8>,Spam,"Unusual Sender, Unusual IP Geolocation, Suspicious Link, Unusual Sender Domain, Unusual Reply To",Remediated
<4cCgrd28wNzSKjD@mail3.infoteq.com.au>,Other,Unusual Sender,Remediated
<22ab7dad-fa98-4707-8d1e-bfd1887c2b0d@autoflowagent.com>,Spam,"Unusual Sender, Unusual Sender Domain",Remediated
<6092136e-ab0e-4b0f-88c0-97866b81ece1@mtasv.net>,Spam,"Unusual Sender, Unusual Sender Domain, Unusual Reply To",Remediated
<7568c34a-af56-461e-9fd1-eb9949ad68fd@mtasv.net>,Spam,"Unusual Sender, Unusual Sender Domain, Unusual Reply To",Remediated
<d9cb6a25840b484da76c229362e0e59b_CADaAPSmzBN5twE+e=Oc=e0Oixg1AodgAKizXU8zTQPHHmbOmCw@mail.gmail.com>,Spam,"Unusual Sender, Unusual IP Geolocation",Remediated
<20250828022942605236@info.edsvc.top>,Spam,"Unusual Sender, Suspicious Financial Request, Email Authentication, Unusual Reply To",Remediated
<20250828022942605236@info.edsvc.top>,Spam,"Unusual Sender, Suspicious Financial Request, Email Authentication, Unusual Reply To",Remediated
<20250828022942605236@info.edsvc.top>,Spam,"Unusual Sender, Suspicious Financial Request, Email Authentication, Unusual Reply To",Remediated
<20250828022942605236@info.edsvc.top>,Spam,"Unusual Sender, Suspicious Financial Request, Email Authentication, Unusual Reply To",Remediated
<4cCg2F2YWZzSDgq@mail3.infoteq.com.au>,Other,Unusual Sender,Remediated
<4cCg164TlpzSCVy@mail3.infoteq.com.au>,Other,Unusual Sender,Remediated
<ddf63d90-79b5-49e0-8e90-3c4eb5ce3e7a@mtasv.net>,Phishing: Credential,"Suspicious Fax or Voicemail notification, Suspicious Financial Request, Abnormal Email Body HTML, Suspicious Link, Unusual Sender, Unusual Sender Domain",Remediated
<JH0PR03MB7856F958BB71919366C8943EC03BA@JH0PR03MB7856.apcprd03.prod.outlook.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<JH0PR03MB7856F958BB71919366C8943EC03BA@JH0PR03MB7856.apcprd03.prod.outlook.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<JH0PR03MB7856F958BB71919366C8943EC03BA@JH0PR03MB7856.apcprd03.prod.outlook.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<JH0PR03MB7856F958BB71919366C8943EC03BA@JH0PR03MB7856.apcprd03.prod.outlook.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<f12dc5982e144e8f8e2192c0c393542b_CADaAPSmzBN5twE+e=Oc=e0Oixg1AodgAKizXU8zTQPHHmbOmCw@mail.gmail.com>,Spam,"Unusual IP Geolocation, Unusual Sender",Remediated
<20250829093503.RavW7Z_VRYW7tstPPhVWyQ@officemanag5558.hanmail.net>,Social Engineering (BEC),"Unusual IP Geolocation, Unusual Sender",Remediated
<20250829003740.42eef95e40f78860@heronassistskills.com>,Spam,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<20250829003740.42eef95e40f78860@heronassistskills.com>,Spam,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<20250829003740.42eef95e40f78860@heronassistskills.com>,Spam,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<20250829003740.42eef95e40f78860@heronassistskills.com>,Spam,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<20250829003740.42eef95e40f78860@heronassistskills.com>,Spam,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<CAKq=c0WmpxiZ1FVGT14wwY4AmWq31b-cWTf-xO__J9nev4u4Ww@mail.gmail.com>,Social Engineering (BEC),Unusual Sender,Remediated
<01090198f33caa1b-2303eecf-be18-415b-b46b-b2b934e67d70-000000@ap-south-1.amazonses.com>,Phishing: Credential,"Uncommon Attachment Type, Unusual Sender",Remediated
<79A8A89A-EB94-4A20-AD6F-669A56458490@hotmail.com>,Other,"Unusual Sender, Low Context File Sharing Link(s), Suspicious Financial Request",Remediated
<20250829001941.b74c0ebd7d144a84@email.internetmarketerinc.com.au>,Spam,"Unusual Sender, Suspicious Link, Abnormal Email Body HTML, Unusual Reply To",Remediated
<20250829001941.b74c0ebd7d144a84@email.internetmarketerinc.com.au>,Spam,"Unusual Sender, Suspicious Link, Abnormal Email Body HTML, Unusual Reply To",Remediated
<20250829001941.b74c0ebd7d144a84@email.internetmarketerinc.com.au>,Spam,"Unusual Sender, Suspicious Link, Abnormal Email Body HTML, Unusual Reply To",Remediated
<20250829001941.b74c0ebd7d144a84@email.internetmarketerinc.com.au>,Spam,"Unusual Sender, Suspicious Link, Abnormal Email Body HTML, Unusual Reply To",Remediated
<20250829001938.784117fe6deee555@email.internetmarketerinc.com.au>,Spam,"Unusual Sender, Abnormal Email Body HTML, Unusual Reply To",Remediated
<20250829001938.784117fe6deee555@email.internetmarketerinc.com.au>,Spam,"Unusual Sender, Abnormal Email Body HTML, Unusual Reply To",Remediated
<20250829001938.784117fe6deee555@email.internetmarketerinc.com.au>,Spam,"Unusual Sender, Abnormal Email Body HTML, Unusual Reply To",Remediated
<20250829001938.784117fe6deee555@email.internetmarketerinc.com.au>,Spam,"Unusual Sender, Abnormal Email Body HTML, Unusual Reply To",Remediated
<oL00Frj6HvSrf4Yccvh1A854RACrlu2V6tLCJgK9y0A@mail-serve.hagro.cn>,Spam,"Unusual IP Geolocation, Unusual Sender, Unusual Sender Domain, Suspicious Link",Remediated
<oL00Frj6HvSrf4Yccvh1A854RACrlu2V6tLCJgK9y0A@mail-serve.hagro.cn>,Spam,"Unusual IP Geolocation, Unusual Sender, Unusual Sender Domain, Suspicious Link",Remediated
<oL00Frj6HvSrf4Yccvh1A854RACrlu2V6tLCJgK9y0A@mail-serve.hagro.cn>,Spam,"Unusual IP Geolocation, Unusual Sender, Unusual Sender Domain, Suspicious Link",Remediated
<DM6PR04MB5993AD3ADCDC67935A0BFB35EB3AA@DM6PR04MB5993.namprd04.prod.outlook.com>,Phishing: Credential,"Unusual Sender, Unusual Sender Domain, Personal Information Theft",Remediated
<DM6PR04MB59937E59194B3E1CB084FE1CEB3AA@DM6PR04MB5993.namprd04.prod.outlook.com>,Phishing: Credential,"Unusual Sender, Unusual Sender Domain, Personal Information Theft",Remediated
<CAB1HFwRQJO0-wQ-gX4T0g@geopod-ismtpd-17>,Spam,"Abnormal Email Body HTML, Invisible characters found in Email, Suspicious Link, Unusual Sender",Remediated
<3900e449-6eee-4bd6-aabb-ccf0c6eb81a1@investor.delmorganco.com>,Spam,"Unusual IP Geolocation, Unusual Sender, Unusual Sender Domain, Unusual Reply To",Remediated
<20250829050352.3BA055C4F274BF16@experienceadvertising.agency>,Spam,"Unusual IP Geolocation, Unusual Sender, Unusual Sender Domain",Remediated
<GKUb704-SFyIDLiFr_IXKg@geopod-ismtpd-9>,Spam,"Unusual Sender, Suspicious Link",Remediated
<abe2a77e-6ec3-4d1e-a532-48a3b264bfe0@arcusrecruitmenthub.com>,Spam,"Unusual Sender, Unusual IP Geolocation, Unusual Sender Domain",Remediated
<PNZPR01MB81385583F4C50CC73E8CF965B63BA@PNZPR01MB8138.INDPRD01.PROD.OUTLOOK.COM>,Spam,"Unusual Sender, Unusual Sender Domain",Remediated
<KU581S7B2RU4.9NNKG7IEXCS4@bouncing.oce.digital.austrade.gov.au>,Spam,"Unusual Sender, Invisible characters found in Email, Unusual Sender Domain, Suspicious Financial Request, Unusual Reply To",Remediated
<x-Ug-6NtQf2IbY5xHUwrYA@geopod-ismtpd-15>,Spam,"Suspicious Link, Unusual Sender Domain, Unusual Sender, Suspicious Financial Request",Remediated
