InternetMessageID,SublimeFlaggedRuleName,
Fake thread with suspicious indicators,0198f34d-a5fd-764e-8666-c8d23b3602c7,<86CDEFC6-29BA-2348-B4D9-9F734456A294@hxcore.ol>
"Business Email Compromise (BEC) with request for mobile number, Business Email Compromise (BEC) attempt from untrusted sender, Employee impersonation with urgent request (untrusted sender), VIP impersonation with BEC language (near match, untrusted sender), VIP impersonation with urgent request (strict match, untrusted sender), VIP / Executive impersonation (strict match, untrusted)",0198f33e-fbfe-7676-8338-5f3f0fb9584a,<CAKq=c0WmpxiZ1FVGT14wwY4AmWq31b-cWTf-xO__J9nev4u4Ww@mail.gmail.com>
Request for Quote or Purchase (RFQ|RFP) with suspicious sender or recipient pattern,0198f328-1c8e-7c3d-be16-6293c1d9d3fb,<01010198f327edc9-1b387956-2acb-4fc8-a56b-abeb6c151bca-000000@us-west-2.amazonses.com>
Request for Quote or Purchase (RFQ|RFP) with suspicious sender or recipient pattern,0198f328-1c84-77c9-ab31-be6557899bf9,<01010198f327ed45-f227b12d-9e3b-404b-9c54-230c716407f8-000000@us-west-2.amazonses.com>
Request for Quote or Purchase (RFQ|RFP) with suspicious sender or recipient pattern,0198f328-1c50-7c54-9d99-8a8594992c41,<01010198f327ee4a-bbf0c305-0170-4036-b377-3408506fa6b2-000000@us-west-2.amazonses.com>
"Business Email Compromise (BEC) attempt from untrusted sender, Business Email Compromise (BEC) attempt from unsolicited sender",0198f2eb-7e61-7ee2-8be2-b79cf42d6061,<eba7428c-4804-461a-92f5-69fefcbefe77@iad4s13mta1505.xt.local>
"Business Email Compromise (BEC) attempt from untrusted sender, Business Email Compromise (BEC) attempt from unsolicited sender",0198edfc-71b0-7b64-9681-97792a445da9,<1cf22805-2d1a-445c-9c53-cf3cc1c3ecd9@iad4s13mta1511.xt.local>
"Business Email Compromise (BEC) attempt from untrusted sender, Business Email Compromise (BEC) attempt from unsolicited sender",0198ede0-1595-7e9e-b62f-fb1f112ef416,<55ff1c88-a513-474b-94c7-b18ea5ad5b49@iad4s13mta1511.xt.local>
"Business Email Compromise (BEC) attempt from untrusted sender, Business Email Compromise (BEC) attempt from unsolicited sender",0198e3e4-e40e-7487-a1ca-c710ebcc3454,<c6b26c5b-b8a0-4388-accf-1b3841a2d933@iad4s13mta1503.xt.local>
"Business Email Compromise (BEC) attempt from untrusted sender, Business Email Compromise (BEC) attempt from unsolicited sender",0198e3ad-9441-77be-9a33-f795e6c6acd4,<47209a62-2a65-4ebc-9b29-3235f34a2aee@iad4s13mta1505.xt.local>
"Attachment: Embedded Javascript in SVG file, Attachment: SVG files with evasion elements, Unusually long local part from untrusted sender address",0198f2e0-fbb3-74bd-9ba3-7f60f22e21da,<4d9e380c-161a-6cf8-2023-e672bb3aad5b@habitatinnovation.com.au>
Spam: Attendee list solicitation,0198f2de-6359-76b6-b291-173a95de46a9,<MAZPR01MB81478CDA6BCCC6222B4F8B66DF3BA@MAZPR01MB8147.INDPRD01.PROD.OUTLOOK.COM>
Spam: Attendee list solicitation,0198f2de-6336-7dad-b37b-c1ab73efb1e5,<MAZPR01MB81478CDA6BCCC6222B4F8B66DF3BA@MAZPR01MB8147.INDPRD01.PROD.OUTLOOK.COM>
Spam: Attendee list solicitation,0198f2de-632b-7e22-b613-445f25f3bde2,<MAZPR01MB81478CDA6BCCC6222B4F8B66DF3BA@MAZPR01MB8147.INDPRD01.PROD.OUTLOOK.COM>
Spam: Attendee list solicitation,0198f2de-62ff-77f6-af73-5a041127eb85,<MAZPR01MB81478CDA6BCCC6222B4F8B66DF3BA@MAZPR01MB8147.INDPRD01.PROD.OUTLOOK.COM>
Spam: Attendee list solicitation,0198f26d-9da7-773c-bd16-a27c04c2ec9b,<MA5P287MB4189C5AC7B6641E449F98E79C13BA@MA5P287MB4189.INDP287.PROD.OUTLOOK.COM>
Spam: Attendee list solicitation,0198f26d-9d56-7c18-8f7d-bd2706bc03da,<MA5P287MB4189C5AC7B6641E449F98E79C13BA@MA5P287MB4189.INDP287.PROD.OUTLOOK.COM>
Spam: Attendee list solicitation,0198f26d-9d3a-7b76-a49f-8bd45268d96a,<MA5P287MB4189C5AC7B6641E449F98E79C13BA@MA5P287MB4189.INDP287.PROD.OUTLOOK.COM>
Spam: Attendee list solicitation,0198f26d-9d3a-79fc-81d9-1e63f3816e85,<MA5P287MB4189C5AC7B6641E449F98E79C13BA@MA5P287MB4189.INDP287.PROD.OUTLOOK.COM>
Spam: Cryptocurrency airdrop/giveaway,0198f195-a3ce-7cdb-a445-d0bc696f8148,<20250828164211.3.04c8f18c638f5d59@mg-d0.substack.com>
Credential phishing content and link (untrusted sender),0198f0de-bee3-7578-a115-733635a95f48,<01.61.40868.1C950B86@i-0c4a0104f84e42fd8.mta2vrest.sd.prd.sparkpost>
Link: Secure SharePoint file share from new or unusual sender,0198f03c-b1bc-70cb-9d6e-e14fd8d5c2e1,"<Share-8e26c0a1-a066-5000-c04f-662c7128cced,8e26c0a1-a066-5000-c04f-662c7128cced-65ea1746-c38f-4fad-8d7e-8a4f65b0c632-r0-SendEmail-rh_ae-aid_9a2e53f5-9020-4b84-9897-006d69a66666@odspnotify>"
Spam: Attendee list solicitation,0198f036-6e7f-7da4-85d5-16a6e4225f10,<20250828122546.E2EA501FB1427956@devseoads.life>
Spam: Attendee list solicitation,0198eec7-86b8-7bb2-bbb1-543c8d5922da,<20250828054500.232505DB9E965472@devseoads.life>
Spam: Attendee list solicitation,0198eec7-839d-7911-93bf-911ab4c0287d,<20250828054500.9852501B3BBFE21D@devseoads.life>
Spam: Attendee list solicitation,0198e360-e558-704e-b388-7dd00c9f39b8,<20250826003703.C933F1719EF36C71@devseoads.life>
Spam: Attendee list solicitation,0198e360-e0e2-70fe-be21-e73da2fea2b1,<20250826003703.4068DF7C7C378F6A@devseoads.life>
Spam: Attendee list solicitation,0198e360-e08c-7b6e-ba43-b2f5e7916c1c,<20250826003703.C933F1719EF36C71@devseoads.life>
Spam: Attendee list solicitation,0198e360-dfdd-7995-94b5-9e599d98a738,<20250826003703.C933F1719EF36C71@devseoads.life>
Spam: Attendee list solicitation,0198e360-debe-70c9-a2cb-af5da529b13f,<20250826003703.4068DF7C7C378F6A@devseoads.life>
Spam: Attendee list solicitation,0198e360-ddb9-7b32-8a41-cdeba29e37e0,<20250826003703.C933F1719EF36C71@devseoads.life>
Spam: Attendee list solicitation,0198e360-dc00-703d-b2fc-f8d4a18aab74,<20250826003703.4068DF7C7C378F6A@devseoads.life>
Spam: Attendee list solicitation,0198e360-dace-797f-91a8-a6b9ab3f6847,<20250826003703.4068DF7C7C378F6A@devseoads.life>
Spam: Attendee list solicitation,0198e35c-427f-7e09-9177-5286a1769ee2,<20250826003200.6598F68289B3E23C@devseoads.life>
Spam: Attendee list solicitation,0198e0db-5947-78aa-ada0-d1c84f7791ff,<20250825125157.EEFB391CFD18DC5D@devseoads.life>
Spam: Attendee list solicitation,0198e0db-58fd-7b5b-b9d1-48265460b6e1,<20250825125157.EEFB391CFD18DC5D@devseoads.life>
Spam: Attendee list solicitation,0198e0db-57b3-7697-9fe1-287be632e8f5,<20250825125157.EEFB391CFD18DC5D@devseoads.life>
Spam: Attendee list solicitation,0198e0db-5676-7d2f-9b00-bde23d14fc64,<20250825125157.EEFB391CFD18DC5D@devseoads.life>
Spam: Attendee list solicitation,0198e0db-5508-71de-9ea3-3b555242ea88,<20250825125157.F78658EFB358E2F1@devseoads.life>
Spam: Attendee list solicitation,0198e0db-54ee-72e7-9ca3-20a519be2327,<20250825125157.F78658EFB358E2F1@devseoads.life>
Spam: Attendee list solicitation,0198e0db-5493-79d8-ad8b-ca95ff604e99,<20250825125157.F78658EFB358E2F1@devseoads.life>
Spam: Attendee list solicitation,0198e0db-53c9-7a05-be4d-03cd848fbdcb,<20250825125157.F78658EFB358E2F1@devseoads.life>
Spam: Attendee list solicitation,0198e0db-512d-7865-8b74-b1069332fc25,<20250825125156.4D1F089ED189B30E@devseoads.life>
Spam: Attendee list solicitation,0198e0db-512d-7dfb-8b91-60ccb8beddac,<20250825125156.4D1F089ED189B30E@devseoads.life>
Spam: Attendee list solicitation,0198e0db-5106-7f24-969a-3f82e35bc2e6,<20250825125156.4D1F089ED189B30E@devseoads.life>
Spam: Attendee list solicitation,0198e0db-509b-71a9-b278-bb1a5df33b93,<20250825125156.4D1F089ED189B30E@devseoads.life>
