InternetMessageID,SublimeFlaggedRuleName
<86CDEFC6-29BA-2348-B4D9-9F734456A294@hxcore.ol>,Fake thread with suspicious indicators
<CAKq=c0WmpxiZ1FVGT14wwY4AmWq31b-cWTf-xO__J9nev4u4Ww@mail.gmail.com>,"Business Email Compromise (BEC) with request for mobile number, Business Email Compromise (BEC) attempt from untrusted sender, Employee impersonation with urgent request (untrusted sender), VIP impersonation with BEC language (near match, untrusted sender), VIP impersonation with urgent request (strict match, untrusted sender), VIP / Executive impersonation (strict match, untrusted)"
<01010198f327edc9-1b387956-2acb-4fc8-a56b-abeb6c151bca-000000@us-west-2.amazonses.com>,Request for Quote or Purchase (RFQ|RFP) with suspicious sender or recipient pattern
<01010198f327ed45-f227b12d-9e3b-404b-9c54-230c716407f8-000000@us-west-2.amazonses.com>,Request for Quote or Purchase (RFQ|RFP) with suspicious sender or recipient pattern
<01010198f327ee4a-bbf0c305-0170-4036-b377-3408506fa6b2-000000@us-west-2.amazonses.com>,Request for Quote or Purchase (RFQ|RFP) with suspicious sender or recipient pattern
<eba7428c-4804-461a-92f5-69fefcbefe77@iad4s13mta1505.xt.local>,"Business Email Compromise (BEC) attempt from untrusted sender, Business Email Compromise (BEC) attempt from unsolicited sender"
<1cf22805-2d1a-445c-9c53-cf3cc1c3ecd9@iad4s13mta1511.xt.local>,"Business Email Compromise (BEC) attempt from untrusted sender, Business Email Compromise (BEC) attempt from unsolicited sender"
<55ff1c88-a513-474b-94c7-b18ea5ad5b49@iad4s13mta1511.xt.local>,"Business Email Compromise (BEC) attempt from untrusted sender, Business Email Compromise (BEC) attempt from unsolicited sender"
<c6b26c5b-b8a0-4388-accf-1b3841a2d933@iad4s13mta1503.xt.local>,"Business Email Compromise (BEC) attempt from untrusted sender, Business Email Compromise (BEC) attempt from unsolicited sender"
<47209a62-2a65-4ebc-9b29-3235f34a2aee@iad4s13mta1505.xt.local>,"Business Email Compromise (BEC) attempt from untrusted sender, Business Email Compromise (BEC) attempt from unsolicited sender"
<4d9e380c-161a-6cf8-2023-e672bb3aad5b@habitatinnovation.com.au>,"Attachment: Embedded Javascript in SVG file, Attachment: SVG files with evasion elements, Unusually long local part from untrusted sender address"
<MAZPR01MB81478CDA6BCCC6222B4F8B66DF3BA@MAZPR01MB8147.INDPRD01.PROD.OUTLOOK.COM>,Spam: Attendee list solicitation
<MAZPR01MB81478CDA6BCCC6222B4F8B66DF3BA@MAZPR01MB8147.INDPRD01.PROD.OUTLOOK.COM>,Spam: Attendee list solicitation
<MAZPR01MB81478CDA6BCCC6222B4F8B66DF3BA@MAZPR01MB8147.INDPRD01.PROD.OUTLOOK.COM>,Spam: Attendee list solicitation
<MAZPR01MB81478CDA6BCCC6222B4F8B66DF3BA@MAZPR01MB8147.INDPRD01.PROD.OUTLOOK.COM>,Spam: Attendee list solicitation
<MA5P287MB4189C5AC7B6641E449F98E79C13BA@MA5P287MB4189.INDP287.PROD.OUTLOOK.COM>,Spam: Attendee list solicitation
<MA5P287MB4189C5AC7B6641E449F98E79C13BA@MA5P287MB4189.INDP287.PROD.OUTLOOK.COM>,Spam: Attendee list solicitation
<MA5P287MB4189C5AC7B6641E449F98E79C13BA@MA5P287MB4189.INDP287.PROD.OUTLOOK.COM>,Spam: Attendee list solicitation
<MA5P287MB4189C5AC7B6641E449F98E79C13BA@MA5P287MB4189.INDP287.PROD.OUTLOOK.COM>,Spam: Attendee list solicitation
<20250828164211.3.04c8f18c638f5d59@mg-d0.substack.com>,Spam: Cryptocurrency airdrop/giveaway
<01.61.40868.1C950B86@i-0c4a0104f84e42fd8.mta2vrest.sd.prd.sparkpost>,Credential phishing content and link (untrusted sender)
"<Share-8e26c0a1-a066-5000-c04f-662c7128cced,8e26c0a1-a066-5000-c04f-662c7128cced-65ea1746-c38f-4fad-8d7e-8a4f65b0c632-r0-SendEmail-rh_ae-aid_9a2e53f5-9020-4b84-9897-006d69a66666@odspnotify>",Link: Secure SharePoint file share from new or unusual sender
<20250828122546.E2EA501FB1427956@devseoads.life>,Spam: Attendee list solicitation
<20250828054500.232505DB9E965472@devseoads.life>,Spam: Attendee list solicitation
<20250828054500.9852501B3BBFE21D@devseoads.life>,Spam: Attendee list solicitation
<20250826003703.C933F1719EF36C71@devseoads.life>,Spam: Attendee list solicitation
<20250826003703.4068DF7C7C378F6A@devseoads.life>,Spam: Attendee list solicitation
<20250826003703.C933F1719EF36C71@devseoads.life>,Spam: Attendee list solicitation
<20250826003703.C933F1719EF36C71@devseoads.life>,Spam: Attendee list solicitation
<20250826003703.4068DF7C7C378F6A@devseoads.life>,Spam: Attendee list solicitation
<20250826003703.C933F1719EF36C71@devseoads.life>,Spam: Attendee list solicitation
<20250826003703.4068DF7C7C378F6A@devseoads.life>,Spam: Attendee list solicitation
<20250826003703.4068DF7C7C378F6A@devseoads.life>,Spam: Attendee list solicitation
<20250826003200.6598F68289B3E23C@devseoads.life>,Spam: Attendee list solicitation
<20250825125157.EEFB391CFD18DC5D@devseoads.life>,Spam: Attendee list solicitation
<20250825125157.EEFB391CFD18DC5D@devseoads.life>,Spam: Attendee list solicitation
<20250825125157.EEFB391CFD18DC5D@devseoads.life>,Spam: Attendee list solicitation
<20250825125157.EEFB391CFD18DC5D@devseoads.life>,Spam: Attendee list solicitation
<20250825125157.F78658EFB358E2F1@devseoads.life>,Spam: Attendee list solicitation
<20250825125157.F78658EFB358E2F1@devseoads.life>,Spam: Attendee list solicitation
<20250825125157.F78658EFB358E2F1@devseoads.life>,Spam: Attendee list solicitation
<20250825125157.F78658EFB358E2F1@devseoads.life>,Spam: Attendee list solicitation
<20250825125156.4D1F089ED189B30E@devseoads.life>,Spam: Attendee list solicitation
<20250825125156.4D1F089ED189B30E@devseoads.life>,Spam: Attendee list solicitation
<20250825125156.4D1F089ED189B30E@devseoads.life>,Spam: Attendee list solicitation
<20250825125156.4D1F089ED189B30E@devseoads.life>,Spam: Attendee list solicitation
<20250825093926.DB182670003BDDEC@devseoads.life>,Spam: Attendee list solicitation
<Z63Yxl1tSeyKsTufbZ0KAA.edIc3SvqEtuAYgD4UPrBcxs@sfdc.net>,Fake thread with suspicious indicators
<DiojE3uWSquIqG_od_TVOg.ctlCb-mnE1aPpmF34Em3Yhs@sfdc.net>,Fake thread with suspicious indicators
<n8uUIHUGRj2NS6kM9fmMew.Yj-BfluvH9meeNRcrOZtJBs@sfdc.net>,Fake thread with suspicious indicators
<AL5W1cwySquVuQ12fc4gJA.3DscnoW0EkyaE7D4Wseqghs@sfdc.net>,Fake thread with suspicious indicators
<PoZ0407bSMqwTi5asnjaNQ.T2R_atAWHtiSNYSFKnJipBs@sfdc.net>,Fake thread with suspicious indicators
<AL5W1cwySquVuQ12fc4gJA.3DscnoW0EkyaE7D4Wseqghs@sfdc.net>,Fake thread with suspicious indicators
<cIDTZwZ3Tse9-Sr0uyQoGw.kWzb15DdHK-UTxJWlkQYQBs@sfdc.net>,Fake thread with suspicious indicators
<dQLImeH5QTKrXyTU8yC7Dw.H45H4CYeHAOyEF24Tb5rGBs@sfdc.net>,Fake thread with suspicious indicators
<AXLInB4TTOOvHC3OwK0f1g.Pnn64Yd-EyWTL5hAO3V7sBs@sfdc.net>,Fake thread with suspicious indicators
<SKgXybysSGGeEcUNmf5Oug.z-IG0c2bFHq0YoP5y1YPHRs@sfdc.net>,Fake thread with suspicious indicators
<mPqdNSPvSaaXs8T8F69S2w.oj3KQYu-FTSsm2hQkZKs-xs@sfdc.net>,Fake thread with suspicious indicators
<AooqidUySR-eEqrskVMf0Q.vDfRenOjH66KOdAtr0G2Xxs@sfdc.net>,Fake thread with suspicious indicators
<01A4bTLsRxyFYqAZYXr61g.oVez7lWKG3mTj73cGVHMsBs@sfdc.net>,Fake thread with suspicious indicators
<0p5qTFWURrmprfZzR_vyzw.B1bZV_nbGsOqYqBDplbI9Rs@sfdc.net>,Fake thread with suspicious indicators
<VZweIZO6QOmXfFc3rxFxDw.JLNVEG1yGTizLL7l-h3ySBs@sfdc.net>,Fake thread with suspicious indicators
<ZvpTJ3zSSliMWuCq95OQMA.pxkuMCb7ETyPDDs4njfKhBs@sfdc.net>,Fake thread with suspicious indicators
<TZTh1EeRRRqkx9Be8J9BbA.YLpHX68iHA6G0yIqyMfGnRs@sfdc.net>,Fake thread with suspicious indicators
<N0uGPiooRwaNfTgROMkkeg.gKOydsuvHPOAm11mKkb8Hxs@sfdc.net>,Fake thread with suspicious indicators
<cZNzrs4TR26PrglNPC-Fnw.Q8kQlx82GteRANM5w17HLhs@sfdc.net>,Fake thread with suspicious indicators
<sF5TF1_3Rxmqw2l_e69m-A.TZKiQSkYFoevexrOn3nNbxs@sfdc.net>,Fake thread with suspicious indicators
<yoX_HVKhQ--mjgH2HRUw1A.-EXlvbtSFSKoPVCanPbJyBs@sfdc.net>,Fake thread with suspicious indicators
<sr8Y03mpSKeKsbV80TKGng.su00if7KEfW7tQiPvmWOdxs@sfdc.net>,Fake thread with suspicious indicators
<Etka1NMCSm-ncf-c5UF6-A.kxzgFKKxEn63fDpNtVJILxs@sfdc.net>,Fake thread with suspicious indicators
<r7LOtEgLSDG8_1MjFPftmA.Am9GLVzJGPyYSAiCppOo0Rs@sfdc.net>,Fake thread with suspicious indicators
<wPFbk9LqTDK6WET221j76Q.j88KHZrhFyCHCEZ0o0yt-Rs@sfdc.net>,Fake thread with suspicious indicators
<SY2PPF3A5462C095291641D76D636A93568F53BA@SY2PPF3A5462C09.AUSP300.PROD.OUTLOOK.COM>,VIP / Executive impersonation in subject (untrusted)
<SEZPR04MB7765AAD7CE38B13CBC0DFD32D23BA@SEZPR04MB7765.apcprd04.prod.outlook.com>,Business Email Compromise (BEC) attempt from untrusted sender
<SEZPR04MB7765AAD7CE38B13CBC0DFD32D23BA@SEZPR04MB7765.apcprd04.prod.outlook.com>,Business Email Compromise (BEC) attempt from untrusted sender
<SEZPR04MB7765AAD7CE38B13CBC0DFD32D23BA@SEZPR04MB7765.apcprd04.prod.outlook.com>,Business Email Compromise (BEC) attempt from untrusted sender
<SEZPR04MB7765AAD7CE38B13CBC0DFD32D23BA@SEZPR04MB7765.apcprd04.prod.outlook.com>,Business Email Compromise (BEC) attempt from untrusted sender
