"@timestamp","email_message_id","threat_tactic_name","threat_indicator_reference","abnormal_security_threat_summary_insights","abnormal_security_threat_remediation_status","abnormal_security_threat_auto_remediated"
"Aug 14, 2025 @ 19:15:53.000","<76764041353122295424739@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-4521038118856334031","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 19:15:53.000","<76764041353122295424739@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-1684042735134788372","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 19:14:50.000","<47804112902721868414914@DESKTOP-MQ7BKO8>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/6695600785162285682","Unusual Sender, Unusual IP Geolocation, Unusual Sender Domain, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 19:13:10.000","<75162520006481836319764@DESKTOP-Q0G9EOT>",Other,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/6863311664294614522","Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Email Authentication, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 19:09:20.000","<meb6cfxf.ec100ab5-2da3-4dea-b357-38809785d1f7@we.are.superhuman.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8294939203870380846","Suspicious Link, Unusual Sender",Remediated,false
"Aug 14, 2025 @ 19:07:09.000","<20250814110701.449286C2C0107B24@sydneyseoguru.services>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/3184258639393299109","Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Suspicious Financial Request",Remediated,false
"Aug 14, 2025 @ 19:07:09.000","<20250814110701.449286C2C0107B24@sydneyseoguru.services>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-4702894046162410787","Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Suspicious Financial Request",Remediated,false
"Aug 14, 2025 @ 19:04:55.000","<2843996800001642612425@win86150>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/8583596910939789125","Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 19:03:50.000","<5bde88f57b2c0069048a235b9a1f3f613d27adf7@liang.asia>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/4139219374994569981","Unusual Sender, Suspicious Link, Unusual IP Geolocation, Unusual Sender Domain, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 19:03:08.000","<SEYPR04MB89749DAF4CB5D19E0ACC7377B335A@SEYPR04MB8974.apcprd04.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/1200059752775534727","Unusual Sender, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 19:03:08.000","<SEYPR04MB89749DAF4CB5D19E0ACC7377B335A@SEYPR04MB8974.apcprd04.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8937080406827000253","Unusual Sender, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 19:03:08.000","<SEYPR04MB89749DAF4CB5D19E0ACC7377B335A@SEYPR04MB8974.apcprd04.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-1779586648453792115","Unusual Sender, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 19:03:08.000","<SEYPR04MB89749DAF4CB5D19E0ACC7377B335A@SEYPR04MB8974.apcprd04.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-2893388951417666692","Unusual Sender, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 18:36:49.000","<74b66af1-9dd0-4683-bd92-a61de0741a12@norm-growyoursocial.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-1779301202144286815","Unusual Sender, Unusual Sender Domain, Suspicious Link, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 18:36:01.000","<CD5hzp1YTsOrBjUdTIzKew@geopod-ismtpd-canary-0>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-5350832221880848484","Unusual Sender, Abnormal Email Body HTML",Remediated,false
