email_message_id,threat_tactic_name,abnormal_security_threat_summary_insights,abnormal_security_threat_remediation_status
<76764041353122295424739@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<76764041353122295424739@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<47804112902721868414914@DESKTOP-MQ7BKO8>,Spam,"Unusual Sender, Unusual IP Geolocation, Unusual Sender Domain, Unusual Reply To",Remediated
<75162520006481836319764@DESKTOP-Q0G9EOT>,Other,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Email Authentication, Unusual Reply To",Remediated
<meb6cfxf.ec100ab5-2da3-4dea-b357-38809785d1f7@we.are.superhuman.com>,Spam,"Suspicious Link, Unusual Sender",Remediated
<20250814110701.449286C2C0107B24@sydneyseoguru.services>,Spam,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Suspicious Financial Request",Remediated
<20250814110701.449286C2C0107B24@sydneyseoguru.services>,Spam,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Suspicious Financial Request",Remediated
<2843996800001642612425@win86150>,Spam,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft, Unusual Reply To",Remediated
<5bde88f57b2c0069048a235b9a1f3f613d27adf7@liang.asia>,Spam,"Unusual Sender, Suspicious Link, Unusual IP Geolocation, Unusual Sender Domain, Unusual Reply To",Remediated
<SEYPR04MB89749DAF4CB5D19E0ACC7377B335A@SEYPR04MB8974.apcprd04.prod.outlook.com>,Spam,"Unusual Sender, Unusual Sender Domain",Remediated
<SEYPR04MB89749DAF4CB5D19E0ACC7377B335A@SEYPR04MB8974.apcprd04.prod.outlook.com>,Spam,"Unusual Sender, Unusual Sender Domain",Remediated
<SEYPR04MB89749DAF4CB5D19E0ACC7377B335A@SEYPR04MB8974.apcprd04.prod.outlook.com>,Spam,"Unusual Sender, Unusual Sender Domain",Remediated
<SEYPR04MB89749DAF4CB5D19E0ACC7377B335A@SEYPR04MB8974.apcprd04.prod.outlook.com>,Spam,"Unusual Sender, Unusual Sender Domain",Remediated
<74b66af1-9dd0-4683-bd92-a61de0741a12@norm-growyoursocial.com>,Spam,"Unusual Sender, Unusual Sender Domain, Suspicious Link, Personal Information Theft",Remediated
<CD5hzp1YTsOrBjUdTIzKew@geopod-ismtpd-canary-0>,Spam,"Unusual Sender, Abnormal Email Body HTML",Remediated
<219d01dc0cf5$409cf020$c1d6d060$@gmail.com>,Spam,"Unusual Sender, Unusual IP Geolocation, Personal Information Theft",Remediated
<7676404135312306227303@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<76764041353122455628360@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<76764041353122455628360@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<76764041353122455628360@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<76764041353122455628360@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<7676404135312306227303@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<7676404135312306227303@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<7676404135312306227303@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<NYC7K5QTXQU4.Y6RUHBL6H2WM@bouncing.oce.choice.com.au>,Spam,"Unusual Sender, Invisible characters found in Email, Unusual Sender Domain, Personal Information Theft, Suspicious Financial Request, Unusual Reply To",Remediated
<g6Gcc6UARFipCHn2m9aBIQ@geopod-ismtpd-8>,Spam,"Unusual Sender, Unusual Sender Domain",Remediated
