InternetMessageID,SublimeFlaggedRuleName
<656101dc0d03$7fd28bc0$7f77a340$@com>,New sender domain (<=10d) from untrusted sender
<656101dc0d03$7fd28bc0$7f77a340$@com>,New sender domain (<=10d) from untrusted sender
<656101dc0d03$7fd28bc0$7f77a340$@com>,New sender domain (<=10d) from untrusted sender
<656101dc0d03$7fd28bc0$7f77a340$@com>,New sender domain (<=10d) from untrusted sender
<13b2201dc0ab7$7965cd40$6c3167c0$@com>,New sender domain (<=10d) from untrusted sender
<13b2201dc0ab7$7965cd40$6c3167c0$@com>,New sender domain (<=10d) from untrusted sender
<13b2201dc0ab7$7965cd40$6c3167c0$@com>,New sender domain (<=10d) from untrusted sender
<13b2201dc0ab7$7965cd40$6c3167c0$@com>,New sender domain (<=10d) from untrusted sender
<293681425718@iZlfv8m80pzh79Z>,Credential phishing link (unknown sender)
<CA+4u7Me-TYiQccwqoeZyTRSF1mZ8BWNh164iTMx=ULro1zK-Yw@mail.gmail.com>,"Advance Fee Fraud (AFF) from freemail provider or suspicious TLD, Honorific greeting BEC attempt with sender and reply-to mismatch, BEC with unusual reply-to or return-path mismatch"
"<SharePage-749bbba1-5054-5000-98b6-ba195204b6d0,749bbba1-5054-5000-98b6-ba195204b6d0-21fab397-be4c-46fc-9632-3398d882be70-SendEmail-PreprocessPayload-rh_ase-aid_d28f57eb-9931-4427-b99e-65e35bc3f765@odspnotify>",Brand impersonation: Sharepoint
"<SharePage-749bbba1-5054-5000-98b6-ba195204b6d0,749bbba1-5054-5000-98b6-ba195204b6d0-21fab397-be4c-46fc-9632-3398d882be70-SendEmail-PreprocessPayload-rh_ase-aid_d28f57eb-9931-4427-b99e-65e35bc3f765@odspnotify>",Brand impersonation: Sharepoint
"<SharePage-749bbba1-5054-5000-98b6-ba195204b6d0,749bbba1-5054-5000-98b6-ba195204b6d0-21fab397-be4c-46fc-9632-3398d882be70-SendEmail-PreprocessPayload-rh_ase-aid_d28f57eb-9931-4427-b99e-65e35bc3f765@odspnotify>",Brand impersonation: Sharepoint
"<SharePage-749bbba1-5054-5000-98b6-ba195204b6d0,749bbba1-5054-5000-98b6-ba195204b6d0-21fab397-be4c-46fc-9632-3398d882be70-SendEmail-PreprocessPayload-rh_ase-aid_d28f57eb-9931-4427-b99e-65e35bc3f765@odspnotify>",Brand impersonation: Sharepoint
"<SharePage-749bbba1-5054-5000-98b6-ba195204b6d0,749bbba1-5054-5000-98b6-ba195204b6d0-21fab397-be4c-46fc-9632-3398d882be70-SendEmail-PreprocessPayload-rh_ase-aid_d28f57eb-9931-4427-b99e-65e35bc3f765@odspnotify>",Brand impersonation: Sharepoint
"<SharePage-749bbba1-5054-5000-98b6-ba195204b6d0,749bbba1-5054-5000-98b6-ba195204b6d0-21fab397-be4c-46fc-9632-3398d882be70-SendEmail-PreprocessPayload-rh_ase-aid_d28f57eb-9931-4427-b99e-65e35bc3f765@odspnotify>",Brand impersonation: Sharepoint
"<SharePage-749bbba1-5054-5000-98b6-ba195204b6d0,749bbba1-5054-5000-98b6-ba195204b6d0-21fab397-be4c-46fc-9632-3398d882be70-SendEmail-PreprocessPayload-rh_ase-aid_d28f57eb-9931-4427-b99e-65e35bc3f765@odspnotify>",Brand impersonation: Sharepoint
"<SharePage-749bbba1-5054-5000-98b6-ba195204b6d0,749bbba1-5054-5000-98b6-ba195204b6d0-21fab397-be4c-46fc-9632-3398d882be70-SendEmail-PreprocessPayload-rh_ase-aid_d28f57eb-9931-4427-b99e-65e35bc3f765@odspnotify>",Brand impersonation: Sharepoint
"<SharePage-579bbba1-6083-5000-aa00-329516f76e84,579bbba1-6083-5000-aa00-329516f76e84-6f587329-c856-4938-ac5b-adf037054b6a-r0-SendEmail-rh_ase-aid_d2def1d9-3319-472d-a203-a646af052ac7@odspnotify>",Brand impersonation: Sharepoint
<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>,Business Email Compromise (BEC) with request for mobile number
<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>,Business Email Compromise (BEC) with request for mobile number
<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>,Business Email Compromise (BEC) with request for mobile number
<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>,Business Email Compromise (BEC) with request for mobile number
<uBpwAVcwRy2fSTFZRWbBvA.my_MrblGHReAD2uYjAssYhs@sfdc.net>,Fake thread with suspicious indicators
<Sq_fp52AQJaEZ_ffpLbrXA.olDVQcD7HqWV2AXilxFC_Rs@sfdc.net>,Fake thread with suspicious indicators
<fzd2DRjXR3-BPw7adGbzpA.1Tq9ckc6GBa0s-5j4TLuGhs@sfdc.net>,Fake thread with suspicious indicators
<P_wm-pdMQkiQQlI6S_qi7w.aJWwA_2QEIqO2mlZhKucHxs@sfdc.net>,Fake thread with suspicious indicators
<YLnsOEoMQdqNdArI8hd_9Q.Bm9LTZx6FFGGeq1Afe__rRs@sfdc.net>,Fake thread with suspicious indicators
<CQxFOlGFQSmloXowpKo2Bg.PwCVSxLhE9yVlyg3uO_FhRs@sfdc.net>,Fake thread with suspicious indicators
<TyLA7GpBSQO3nJXXORbUWw.mS6h8y84GOmzla_ZzpB7qhs@sfdc.net>,Fake thread with suspicious indicators
<6SOBfQNOT8u4_8-xzjBimw.vt5V3XyBHayloXPQq8eb5xs@sfdc.net>,Fake thread with suspicious indicators
<Bm6JvdTzRtmm7dj_rnt6TA.SWxWrVoHHKqGb-5V3j4n9Bs@sfdc.net>,Fake thread with suspicious indicators
<tvYwWUfBSp-LRz-2Zto2PQ.iCx5A9xXG9mE-qTnGWbhJhs@sfdc.net>,Fake thread with suspicious indicators
<wzUn8DBfQdCw2hC9zEycAQ._MeysgNQFUOcaBb6j7gNNRs@sfdc.net>,Fake thread with suspicious indicators
<BBl22jFQR9WZiW4SB9q1ig.7z6i9oNPG0SoeYwC8kIprxs@sfdc.net>,Fake thread with suspicious indicators
<UimvJV0tQR60NmxCiXgsgg.uR_yw_kiGEi1ev8a9Oycoxs@sfdc.net>,Fake thread with suspicious indicators
<HCGGwkomRPeKGDIhL1BRqA.7Dp0djLYFNy1cBGbfU36Zxs@sfdc.net>,Fake thread with suspicious indicators
<6SOBfQNOT8u4_8-xzjBimw.vt5V3XyBHayloXPQq8eb5xs@sfdc.net>,Fake thread with suspicious indicators
<0tqMpmFtTCe7xWnygSCX7g.i5Ptbcc4Go6V1ZODk2-TCxs@sfdc.net>,Fake thread with suspicious indicators
<0FmLtJa3THqcXFSpvka9zQ.6GRtISYbHTy4--Qi4icxXhs@sfdc.net>,Fake thread with suspicious indicators
<oW8IB6lpT4KGmPNN8yWcww.w9fyguu7GSerhpQYDrXaWBs@sfdc.net>,Fake thread with suspicious indicators
<vCKPQQU4QjS5f_8tu8dgNQ.U_QGl-SyGXu6XqwDptK-xxs@sfdc.net>,Fake thread with suspicious indicators
<yseHi4v7SYq-XZF2Y0yxQw.jW9rCWSkGG6uf12MSNbzQhs@sfdc.net>,Fake thread with suspicious indicators
<crLCmVoRTqSfkNikSSnVEQ.oUWXe0r4EomxCB5LrTPWJxs@sfdc.net>,Fake thread with suspicious indicators
