message_id,remediation_status,summary_insights
<53cd142f-05d6-43ed-bb54-2149a8e37c41@mmpassociatesline.com>,Remediated,"Suspicious Link, Unusual Sender, Unusual Sender Domain"
<2e645a0b-27bf-06e5-769d-e0412099b220@kktaiki.com.my>,Remediated,"Suspicious Fax or Voicemail notification, Suspicious Financial Request, Unusual Sender, Personal Information Theft"
<653240242560878112053@win97020>,Remediated,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation"
<20250408020427E5533DDE32-FD8511631D@alfuittam.com>,Remediated,"Unusual IP Geolocation, Unusual Sender, Unusual Sender Domain, Suspicious Financial Request, Unusual Reply To"
<29f599a9-b5ef-45d8-b6d3-35099ae353af@perfectfit.my>,Remediated,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Unusual Reply To"
<29f599a9-b5ef-45d8-b6d3-35099ae353af@perfectfit.my>,Remediated,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Unusual Reply To"
<SE2P216MB2694E40EBEF68A9B8EC135749D23A@SE2P216MB2694.KORP216.PROD.OUTLOOK.COM>,Remediated,"Abnormal Recipient Pattern, Unusual Sender"
<SE2P216MB2694E40EBEF68A9B8EC135749D23A@SE2P216MB2694.KORP216.PROD.OUTLOOK.COM>,Remediated,"Abnormal Recipient Pattern, Unusual Sender"
<362040139273629228400@win95439>,Remediated,"Unusual IP Geolocation, Unusual Sender Domain, Unusual Sender, Suspicious Financial Request, Unusual Reply To"
<4uqutrs6hib6.ls6-iP7wwGeNc8PgztA4pg2@tracking.ho.acmfgedm.com>,Remediated,"Unusual Sender Domain, Unusual Sender, Unusual Reply To"
<e4951efcc2db408188a809e6228dd1e1_CAPmt2AOHbOQKe57-GeoKfwLbmSjX-4WBJrBRH_D1njhtRGP9TA@mail.gmail.com>,Remediated,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Personal Information Theft, Suspicious Financial Request"
<PH0PR10MB450197132BBE0D7CFB9C0BB0B123A@PH0PR10MB4501.namprd10.prod.outlook.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<PH0PR10MB450197132BBE0D7CFB9C0BB0B123A@PH0PR10MB4501.namprd10.prod.outlook.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<PH0PR10MB450197132BBE0D7CFB9C0BB0B123A@PH0PR10MB4501.namprd10.prod.outlook.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<PH0PR10MB450197132BBE0D7CFB9C0BB0B123A@PH0PR10MB4501.namprd10.prod.outlook.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<KL1PR01MB5873B7EB1207DBE717ECF991C323A@KL1PR01MB5873.apcprd01.prod.exchangelabs.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<KL1PR01MB5873B7EB1207DBE717ECF991C323A@KL1PR01MB5873.apcprd01.prod.exchangelabs.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<KL1PR01MB5873B7EB1207DBE717ECF991C323A@KL1PR01MB5873.apcprd01.prod.exchangelabs.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<KL1PR01MB5873B7EB1207DBE717ECF991C323A@KL1PR01MB5873.apcprd01.prod.exchangelabs.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<20250804143947.EAEEF2DA3F2DFA66@nswwebguru.solutions>,Remediated,"Unusual Sender, Unusual Sender Domain"
<20250804143947.EAEEF2DA3F2DFA66@nswwebguru.solutions>,Remediated,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation"
<20250804143947.EAEEF2DA3F2DFA66@nswwebguru.solutions>,Remediated,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation"
<20250804143947.EAEEF2DA3F2DFA66@nswwebguru.solutions>,Remediated,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation"
<7b79a5cad95c41c9afe814020bb5e7a0_CACwxV_-WDTgMOekz6ykhSNTFyCvjTaYXk5fwXcJe=HeZtjwxBA@mail.gmail.com>,Remediated,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Personal Information Theft, Suspicious Financial Request"
<CAA6e=uB8F90YWr2iEWrxMptH+W-vQF+_ayyLB5CN3mTznPayRw@mail.gmail.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<CAA6e=uB8F90YWr2iEWrxMptH+W-vQF+_ayyLB5CN3mTznPayRw@mail.gmail.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<CAA6e=uB8F90YWr2iEWrxMptH+W-vQF+_ayyLB5CN3mTznPayRw@mail.gmail.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<CAA6e=uB8F90YWr2iEWrxMptH+W-vQF+_ayyLB5CN3mTznPayRw@mail.gmail.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<CAD43Vi4+c2gapqsAz4Te5=Yx=K4dLPY1yy5SCpwnz4kUnAKcyw@mail.gmail.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<30f247b2-01f4-4d96-8a1f-6af0dc654506@223331.com>,Remediated,"Unusual IP Geolocation, Unusual Sender, Suspicious Link, Unusual Sender Domain, Unusual Reply To"
<J5R4i9PDQjqfYqvqYDQjEA@geopod-ismtpd-17>,Remediated,"Unusual Sender, Suspicious Link, Unusual Sender Domain"
<CAHUFs8ZP7viCdpE-FeNmu2JWVs9HiKpHSp-=L0WN_Pc4KwFmbw@mail.gmail.com>,Remediated,"Unusual Sender, Abnormal Recipient Pattern"
<autogen-java-3c0141f3-97bb-4a1d-83fc-e2db7b853c2e@google.com>,Remediated,Unusual Sender
<autogen-java-3c0141f3-97bb-4a1d-83fc-e2db7b853c2e@google.com>,Remediated,Unusual Sender
<autogen-java-3c0141f3-97bb-4a1d-83fc-e2db7b853c2e@google.com>,Remediated,Unusual Sender
<TY0PR06MB5460824AC4242AD7C309AB7CA623A@TY0PR06MB5460.apcprd06.prod.outlook.com>,Remediated,"Abnormal Recipient Pattern, Unusual Sender"
