InternetMessageID,SublimeFlaggedRuleName
<6CMBDVCUVQU4.SY0C3MTP585K@aus1job01>,Impersonation using recipient domain (untrusted sender)
<LVWNGVCUVQU4.7JZ98608FC841@aus1job03>,Impersonation using recipient domain (untrusted sender)
<6CMBDVCUVQU4.SY0C3MTP585K@aus1job01>,Impersonation using recipient domain (untrusted sender)
<GLJTIVCUVQU4.JPOTSEEGNEER1@aus1job03>,Impersonation using recipient domain (untrusted sender)
<3QIMLVCUVQU4.6G9ICR2RIKOK1@aus1job03>,Impersonation using recipient domain (untrusted sender)
<9SAUGVCUVQU4.RKCW3S51O46H3@aus1job03>,Impersonation using recipient domain (untrusted sender)
<TBQPC2VLVQU4.7M71OG8Z3UX51@aus1job03>,Impersonation using recipient domain (untrusted sender)
<TBQPC2VLVQU4.7M71OG8Z3UX51@aus1job03>,Impersonation using recipient domain (untrusted sender)
<XAMFLCZ8VQU4.OC9D8HW9QL6N@aus1job03>,Impersonation using recipient domain (untrusted sender)
<3JCAJCZ8VQU4.5LBY2BJTVNYE@aus1job02>,Impersonation using recipient domain (untrusted sender)
<XAMFLCZ8VQU4.OC9D8HW9QL6N@aus1job03>,Impersonation using recipient domain (untrusted sender)
<Z6PMLCZ8VQU4.W4BP5D9I2B3L@aus1job03>,Impersonation using recipient domain (untrusted sender)
<MC92OCZ8VQU4.E8NTA2VLSG4M1@aus1job03>,Impersonation using recipient domain (untrusted sender)
<2KS408S1VQU4.SZB9MWXNDBRP3@aus1job01>,Impersonation using recipient domain (untrusted sender)
<DVK3W7S1VQU4.MRA7QAI23QMW1@aus1job01>,Impersonation using recipient domain (untrusted sender)
<2KS408S1VQU4.SZB9MWXNDBRP3@aus1job01>,Impersonation using recipient domain (untrusted sender)
<LMTD18S1VQU4.398FBAAJZXCX@aus1job01>,Impersonation using recipient domain (untrusted sender)
<R2AQZ7S1VQU4.WASZWT5NQ1UT@aus1job01>,Impersonation using recipient domain (untrusted sender)
<KFVVWEM0VQU4.BO579R4I2BE91@aus1job01>,Impersonation using recipient domain (untrusted sender)
<ZTNKZEM0VQU4.HLQXMZA7Z87G1@aus1job01>,Impersonation using recipient domain (untrusted sender)
<FUM9ZEM0VQU4.FPHSFVH5BZUN1@aus1job02>,Impersonation using recipient domain (untrusted sender)
<FUM9ZEM0VQU4.FPHSFVH5BZUN1@aus1job02>,Impersonation using recipient domain (untrusted sender)
<GL1HWEM0VQU4.SVP97QS7K5AG@aus1job01>,Impersonation using recipient domain (untrusted sender)
<V78I0580VQU4.Z0AIITJI8XX51@aus2job03>,Impersonation using recipient domain (untrusted sender)
<EYQHP480VQU4.IMHMCUODI0YN2@aus2job02>,Impersonation using recipient domain (untrusted sender)
<598012535814062444@mail.haazconsult.uk>,New sender domain (<=10d) from untrusted sender
<31123281047033667@swpukltd.com>,New sender domain (<=10d) from untrusted sender
<450417098187294@swpukltd.com>,New sender domain (<=10d) from untrusted sender
<39967243561402444@swpukltd.com>,New sender domain (<=10d) from untrusted sender
